"Reference","Qty","Value","DNP","Exclude from BOM","Exclude from Board","Footprint","Datasheet"
"BOTON_TERMINAL1","1","WJ300V-5.0-2P","","","","SHDR2W105P0X500_1X2_1000X900X1260P","https://datasheet.lcsc.com/szlcsc/Ningbo-Kangnex-Elec-WJ300V-5-0-2P_C8385.pdf"
"C1,C10","2","22uF","","","","PCM_JLCPCB:C_0603","https://www.lcsc.com/datasheet/lcsc_datasheet_2304140030_Samsung-Electro-Mechanics-CL10A226MQ8NRNC_C59461.pdf"
"C2,C3,C7,C8,C9","5","100nF","","","","PCM_JLCPCB:C_0402","https://www.lcsc.com/datasheet/lcsc_datasheet_2304140030_Samsung-Electro-Mechanics-CL05B104KO5NNNC_C1525.pdf"
"C4","1","10nF","","","","PCM_JLCPCB:C_0402","https://www.lcsc.com/datasheet/lcsc_datasheet_2304140030_Samsung-Electro-Mechanics-CL05B103KB5NNNC_C15195.pdf"
"C5","1","47uF","","","","Capacitor_SMD:C_Elec_6.3x7.7","https://www.lcsc.com/datasheet/lcsc_datasheet_2304140030_Samsung-Electro-Mechanics-CL21A476MQYNNNE_C16780.pdf"
"C6,C11","2","100nF","","","","PCM_JLCPCB:C_0603","https://www.lcsc.com/datasheet/lcsc_datasheet_2211101700_YAGEO-CC0603KRX7R9BB104_C14663.pdf"
"C12,C14","2","22uF","","","","PCM_JLCPCB:C_1206","https://www.lcsc.com/datasheet/lcsc_datasheet_1810221121_Samsung-Electro-Mechanics-CL31A226KPHNNNE_C5672.pdf"
"C13","1","10uF","","","","SamacSys_Parts:CAPC3216X180N","https://datasheet.datasheetarchive.com/originals/distributors/Datasheets_SAMA/08745f6325ae1679773301b11fb0567f.pdf"
"C15,C16","2","1uF","","","","PCM_JLCPCB:C_0402","https://www.lcsc.com/datasheet/lcsc_datasheet_2304140030_Samsung-Electro-Mechanics-CL05A105KA5NQNC_C52923.pdf"
"D1,D2","2","SS210-E3_52T","","","","DIONM5436X244N","https://www.vishay.com/docs/88749/ss29.pdf"
"D3","1","SMF3.3","","","","SamacSys_Parts:SOD3718X108N","https://componentsearchengine.com/Datasheets/2/SMF3.3.pdf"
"D4,D5,D6,D7,D8,D9","6","ESD9B3.3ST5G","","","","SamacSys_Parts:SODFL1006X40N","https://www.onsemi.com/pub/Collateral/ESD9B-D.PDF"
"IC1","1","USBLC6-2SC6","","","","SamacSys_Parts:SOT95P280X145-6N","http://www.st.com/st-web-ui/static/active/en/resource/technical/document/datasheet/CD00050750.pdf"
"IC2","1","ESP32-S3-WROOM-1-N16","","","","SamacSys_Parts:ESP32S3WROOM1N16","https://www.espressif.com/sites/default/files/documentation/esp32-s3-wroom-1_wroom-1u_datasheet_en.pdf"
"IC3","1","AP63203WU-7","","","","AP63203WU7","https://www.diodes.com/assets/Datasheets/AP63200-AP63201-AP63203-AP63205.pdf"
"J1","1","Connector, USB-TYPE-C-16P","","","","PCM_JLCPCB:TYPE-C-SMD_HX-TYPE-C-16PIN","https://atta.szlcsc.com/upload/public/pdf/source/20220920/0EF8F885FCCEA71F60E9E85152155021.pdf"
"L1","1","NLV25T-3R9J-PF","","","","SamacSys_Parts:INDM2520X190N","https://product.tdk.com/system/files/dam/doc/product/inductor/inductor/smd/catalog/inductor_commercial_standard_nlv25-pf_en.pdf"
"L2","1","RLB1014-104KL","","","","RLB1014104KL","https://componentsearchengine.com/Datasheets/2/RLB1014-104KL.pdf"
"LSA}1,LSC1","2","WJ300V-5.0-2P","","","","SamacSys_Parts:SHDR2W105P0X500_1X2_1000X900X1260P","https://datasheet.lcsc.com/szlcsc/Ningbo-Kangnex-Elec-WJ300V-5-0-2P_C8385.pdf"
"MOTOR1,PILA1","2","XT30UPB-M","","","","SamacSys_Parts:SHDR2W160P0X500_1X2_1020X520X1070P","https://www.tme.eu/Document/4acc913878197f8c2e30d4b8cdc47230/XT30UPB%20SPEC.pdf"
"R1","1","10kΩ","","","","PCM_JLCPCB:R_0402","https://www.lcsc.com/datasheet/lcsc_datasheet_2411221126_UNI-ROYAL-Uniroyal-Elec-0402WGF1002TCE_C25744.pdf"
"R2","1","30kΩ","","","","PCM_JLCPCB:R_0603","https://www.lcsc.com/datasheet/lcsc_datasheet_2206010116_UNI-ROYAL-Uniroyal-Elec-0603WAF3002T5E_C22984.pdf"
"R3,R4,R5,R7","4","4.7kΩ","","","","PCM_JLCPCB:R_0402","https://www.lcsc.com/datasheet/lcsc_datasheet_2206010045_UNI-ROYAL-Uniroyal-Elec-0402WGF4701TCE_C25900.pdf"
"R6,R8","2","33Ω","","","","PCM_JLCPCB:R_0402","https://www.lcsc.com/datasheet/lcsc_datasheet_2205311900_UNI-ROYAL-Uniroyal-Elec-0402WGF330JTCE_C25105.pdf"
"R9,R10","2","5.1kΩ","","","","PCM_JLCPCB:R_0805","https://www.lcsc.com/datasheet/lcsc_datasheet_2206010030_UNI-ROYAL-Uniroyal-Elec-0805W8F5101T5E_C27834.pdf"
"R11","1","3314J-1-103E","","","","SamacSys_Parts:3314J-1","http://uk.rs-online.com/web/p/products/6917409"
"Reset1","1","XKB5858-W-TP","","","","SamacSys_Parts:XKB5858WTP","http://www.helloxkb.com/public/images/pdf/XKB5858-X-TP.pdf"
"U2","1","DRV8871DDA","","","","Package_SO:Texas_HTSOP-8-1EP_3.9x4.9mm_P1.27mm_EP2.95x4.9mm_Mask2.4x3.1mm_ThermalVias","http://www.ti.com/lit/ds/symlink/drv8871.pdf"
